ROI,Subject,Effect, LocalizerSize,EffectSize
1,291_FED_20160803c_3T1_PL2017,Pic_Sem, 202,0.171115
1,291_FED_20160803c_3T1_PL2017,Pic_Perc, 202,0.550358
1,291_FED_20160803c_3T1_PL2017,Sent_Sem, 202,0.939168
1,291_FED_20160803c_3T1_PL2017,Sent_Perc, 202,0.215194
1,400_FED_20160520a_3T1_PL2017,Pic_Sem, 202,-0.057320
1,400_FED_20160520a_3T1_PL2017,Pic_Perc, 202,-0.155288
1,400_FED_20160520a_3T1_PL2017,Sent_Sem, 202,-0.223301
1,400_FED_20160520a_3T1_PL2017,Sent_Perc, 202,0.142095
1,419_FED_20160805a_3T1_PL2017,Pic_Sem, 202,0.215149
1,419_FED_20160805a_3T1_PL2017,Pic_Perc, 202,0.296716
1,419_FED_20160805a_3T1_PL2017,Sent_Sem, 202,-0.411183
1,419_FED_20160805a_3T1_PL2017,Sent_Perc, 202,-0.379496
1,773_FED_20190605c_3T2_PL2017,Pic_Sem, 202,0.280990
1,773_FED_20190605c_3T2_PL2017,Pic_Perc, 202,-0.311131
1,773_FED_20190605c_3T2_PL2017,Sent_Sem, 202,0.240851
1,773_FED_20190605c_3T2_PL2017,Sent_Perc, 202,-0.167909
1,774_FED_20190605b_3T2_PL2017,Pic_Sem, 202,0.648987
1,774_FED_20190605b_3T2_PL2017,Pic_Perc, 202,0.350407
1,774_FED_20190605b_3T2_PL2017,Sent_Sem, 202,0.238483
1,774_FED_20190605b_3T2_PL2017,Sent_Perc, 202,0.103462
1,775_FED_20190611a_3T2_PL2017,Pic_Sem, 202,0.079238
1,775_FED_20190611a_3T2_PL2017,Pic_Perc, 202,-0.199683
1,775_FED_20190611a_3T2_PL2017,Sent_Sem, 202,-0.121626
1,775_FED_20190611a_3T2_PL2017,Sent_Perc, 202,-0.490813
1,778_FED_20190614b_3T2_PL2017,Pic_Sem, 202,1.090098
1,778_FED_20190614b_3T2_PL2017,Pic_Perc, 202,0.239559
1,778_FED_20190614b_3T2_PL2017,Sent_Sem, 202,0.870902
1,778_FED_20190614b_3T2_PL2017,Sent_Perc, 202,0.358106
