ROI,Subject,Effect, LocalizerSize,EffectSize
1,291_FED_20160803c_3T1_PL2017,Pic_Sem, 178,-0.013019
1,291_FED_20160803c_3T1_PL2017,Pic_Perc, 178,1.265976
1,291_FED_20160803c_3T1_PL2017,Sent_Sem, 178,0.940659
1,291_FED_20160803c_3T1_PL2017,Sent_Perc, 178,0.159429
1,400_FED_20160520a_3T1_PL2017,Pic_Sem, 178,0.520700
1,400_FED_20160520a_3T1_PL2017,Pic_Perc, 178,0.870811
1,400_FED_20160520a_3T1_PL2017,Sent_Sem, 178,0.866529
1,400_FED_20160520a_3T1_PL2017,Sent_Perc, 178,0.187053
1,419_FED_20160805a_3T1_PL2017,Pic_Sem, 178,1.250251
1,419_FED_20160805a_3T1_PL2017,Pic_Perc, 178,1.369126
1,419_FED_20160805a_3T1_PL2017,Sent_Sem, 178,-0.541932
1,419_FED_20160805a_3T1_PL2017,Sent_Perc, 178,0.128974
1,773_FED_20190605c_3T2_PL2017,Pic_Sem, 178,1.244794
1,773_FED_20190605c_3T2_PL2017,Pic_Perc, 178,-0.231549
1,773_FED_20190605c_3T2_PL2017,Sent_Sem, 178,0.861255
1,773_FED_20190605c_3T2_PL2017,Sent_Perc, 178,-0.077860
1,774_FED_20190605b_3T2_PL2017,Pic_Sem, 178,4.958894
1,774_FED_20190605b_3T2_PL2017,Pic_Perc, 178,4.832003
1,774_FED_20190605b_3T2_PL2017,Sent_Sem, 178,2.925698
1,774_FED_20190605b_3T2_PL2017,Sent_Perc, 178,4.233488
1,775_FED_20190611a_3T2_PL2017,Pic_Sem, 178,1.647950
1,775_FED_20190611a_3T2_PL2017,Pic_Perc, 178,1.325829
1,775_FED_20190611a_3T2_PL2017,Sent_Sem, 178,1.789810
1,775_FED_20190611a_3T2_PL2017,Sent_Perc, 178,1.772712
1,778_FED_20190614b_3T2_PL2017,Pic_Sem, 178,4.847522
1,778_FED_20190614b_3T2_PL2017,Pic_Perc, 178,1.326753
1,778_FED_20190614b_3T2_PL2017,Sent_Sem, 178,4.006108
1,778_FED_20190614b_3T2_PL2017,Sent_Perc, 178,1.457704
2,291_FED_20160803c_3T1_PL2017,Pic_Sem, 116,0.216948
2,291_FED_20160803c_3T1_PL2017,Pic_Perc, 116,2.318011
2,291_FED_20160803c_3T1_PL2017,Sent_Sem, 116,2.671947
2,291_FED_20160803c_3T1_PL2017,Sent_Perc, 116,0.986898
2,400_FED_20160520a_3T1_PL2017,Pic_Sem, 116,1.090600
2,400_FED_20160520a_3T1_PL2017,Pic_Perc, 116,0.401682
2,400_FED_20160520a_3T1_PL2017,Sent_Sem, 116,-0.109726
