ROI1,ROI2,NumVoxelsROI1,NumVoxelsROI2,NumVoxelsShared,Overlap
1,1,37,37,31,0.837837837837838
1,2,37,74,0,0
1,3,37,46,0,0
1,4,37,162,0,0
1,5,37,294,0,0
1,6,37,64,0,0
1,7,37,37,0,0
1,8,37,74,0,0
1,9,37,46,0,0
1,10,37,162,0,0
1,11,37,294,0,0
1,12,37,64,0,0
2,1,74,37,0,0
2,2,74,74,67,0.905405405405405
2,3,74,46,0,0
2,4,74,162,0,0
2,5,74,294,0,0
2,6,74,64,0,0
2,7,74,37,0,0
2,8,74,74,0,0
2,9,74,46,0,0
2,10,74,162,0,0
2,11,74,294,0,0
2,12,74,64,0,0
3,1,46,37,0,0
3,2,46,74,0,0
3,3,46,46,31,0.673913043478261
3,4,46,162,0,0
3,5,46,294,0,0
3,6,46,64,0,0
3,7,46,37,0,0
3,8,46,74,0,0
3,9,46,46,0,0
3,10,46,162,0,0
3,11,46,294,0,0
3,12,46,64,0,0
4,1,162,37,0,0
4,2,162,74,0,0
4,3,162,46,0,0
4,4,162,162,124,0.765432098765432
4,5,162,294,0,0
4,6,162,64,0,0
4,7,162,37,0,0
4,8,162,74,0,0
4,9,162,46,0,0
4,10,162,162,0,0
4,11,162,294,0,0
4,12,162,64,0,0
5,1,294,37,0,0
5,2,294,74,0,0
5,3,294,46,0,0
5,4,294,162,0,0
5,5,294,294,240,0.816326530612245
5,6,294,64,0,0
5,7,294,37,0,0
5,8,294,74,0,0
5,9,294,46,0,0
5,10,294,162,0,0
5,11,294,294,0,0
5,12,294,64,0,0
6,1,64,37,0,0
6,2,64,74,0,0
6,3,64,46,0,0
6,4,64,162,0,0
6,5,64,294,0,0
6,6,64,64,44,0.6875
6,7,64,37,0,0
6,8,64,74,0,0
6,9,64,46,0,0
6,10,64,162,0,0
6,11,64,294,0,0
6,12,64,64,0,0
7,1,37,37,0,0
7,2,37,74,0,0
7,3,37,46,0,0
7,4,37,162,0,0
7,5,37,294,0,0
7,6,37,64,0,0
7,7,37,37,19,0.513513513513513
7,8,37,74,0,0
7,9,37,46,0,0
7,10,37,162,0,0
7,11,37,294,0,0
7,12,37,64,0,0
8,1,74,37,0,0
8,2,74,74,0,0
8,3,74,46,0,0
8,4,74,162,0,0
8,5,74,294,0,0
8,6,74,64,0,0
8,7,74,37,0,0
8,8,74,74,47,0.635135135135135
8,9,74,46,0,0
8,10,74,162,0,0
8,11,74,294,0,0
8,12,74,64,0,0
9,1,46,37,0,0
9,2,46,74,0,0
9,3,46,46,0,0
9,4,46,162,0,0
9,5,46,294,0,0
9,6,46,64,0,0
9,7,46,37,0,0
9,8,46,74,0,0
9,9,46,46,21,0.456521739130435
9,10,46,162,0,0
9,11,46,294,0,0
9,12,46,64,0,0
10,1,162,37,0,0
10,2,162,74,0,0
10,3,162,46,0,0
10,4,162,162,0,0
10,5,162,294,0,0
10,6,162,64,0,0
10,7,162,37,0,0
10,8,162,74,0,0
10,9,162,46,0,0
10,10,162,162,118,0.728395061728395
10,11,162,294,0,0
10,12,162,64,0,0
11,1,294,37,0,0
11,2,294,74,0,0
11,3,294,46,0,0
11,4,294,162,0,0
11,5,294,294,0,0
11,6,294,64,0,0
11,7,294,37,0,0
11,8,294,74,0,0
11,9,294,46,0,0
11,10,294,162,0,0
11,11,294,294,107,0.363945578231293
11,12,294,64,0,0
12,1,64,37,0,0
12,2,64,74,0,0
12,3,64,46,0,0
12,4,64,162,0,0
12,5,64,294,0,0
12,6,64,64,0,0
12,7,64,37,0,0
12,8,64,74,0,0
12,9,64,46,0,0
12,10,64,162,0,0
12,11,64,294,0,0
12,12,64,64,35,0.546875
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
