ROI,Subject,Effect, LocalizerSize,EffectSize
1,249_FED_20160519a_3T1_PL2017,H, 178,0.969142
1,249_FED_20160519a_3T1_PL2017,E, 178,0.810398
1,252_FED_20160907b_3T2_PL2017,H, 178,2.988683
1,252_FED_20160907b_3T2_PL2017,E, 178,1.342962
1,291_FED_20160803c_3T1_PL2017,H, 178,1.848915
1,291_FED_20160803c_3T1_PL2017,E, 178,1.428189
1,301_FED_20160908b_3T1_PL2017,H, 178,1.551822
1,301_FED_20160908b_3T1_PL2017,E, 178,0.495110
1,376_FED_20160519b_3T1_PL2017,H, 178,1.519122
1,376_FED_20160519b_3T1_PL2017,E, 178,0.758063
1,399_FED_20160519d_3T1_PL2017,H, 178,-0.011725
1,399_FED_20160519d_3T1_PL2017,E, 178,-0.119679
1,400_FED_20160520a_3T1_PL2017,H, 178,0.941950
1,400_FED_20160520a_3T1_PL2017,E, 178,0.562709
1,401_FED_20160520d_3T1_PL2017,H, 178,1.426658
1,401_FED_20160520d_3T1_PL2017,E, 178,1.337457
1,419_FED_20160805a_3T1_PL2017,H, 178,1.091373
1,419_FED_20160805a_3T1_PL2017,E, 178,1.233585
1,420_FED_20160805b_3T1_PL2017,H, 178,0.708714
1,420_FED_20160805b_3T1_PL2017,E, 178,0.565515
1,426_FED_20160908d_3T1_PL2017,H, 178,1.538296
1,426_FED_20160908d_3T1_PL2017,E, 178,0.912117
1,682_FED_20190426a_3T2_PL2017,H, 178,0.710052
1,682_FED_20190426a_3T2_PL2017,E, 178,0.421368
1,767_FED_20190418b_3T2_PL2017,H, 178,0.462332
1,767_FED_20190418b_3T2_PL2017,E, 178,-0.166657
1,769_FED_20190522a_3T2_PL2017,H, 178,-0.267372
1,769_FED_20190522a_3T2_PL2017,E, 178,0.290249
1,770_FED_20190523b_3T2_PL2017,H, 178,0.273343
1,770_FED_20190523b_3T2_PL2017,E, 178,0.058951
1,773_FED_20190605c_3T2_PL2017,H, 178,0.731880
1,773_FED_20190605c_3T2_PL2017,E, 178,0.556829
1,774_FED_20190605b_3T2_PL2017,H, 178,1.864767
1,774_FED_20190605b_3T2_PL2017,E, 178,0.849960
1,775_FED_20190611a_3T2_PL2017,H, 178,4.858906
1,775_FED_20190611a_3T2_PL2017,E, 178,3.775717
1,778_FED_20190614b_3T2_PL2017,H, 178,-0.194035
1,778_FED_20190614b_3T2_PL2017,E, 178,-0.125126
1,863_FED_20211124a_3T1_PL2017,H, 178,2.381455
1,863_FED_20211124a_3T1_PL2017,E, 178,1.674533
2,249_FED_20160519a_3T1_PL2017,H, 116,1.799569
2,249_FED_20160519a_3T1_PL2017,E, 116,0.942593
2,252_FED_20160907b_3T2_PL2017,H, 116,1.099691
2,252_FED_20160907b_3T2_PL2017,E, 116,0.095380
2,291_FED_20160803c_3T1_PL2017,H, 116,1.559890
2,291_FED_20160803c_3T1_PL2017,E, 116,1.029632
2,301_FED_20160908b_3T1_PL2017,H, 116,-1.253552
2,301_FED_20160908b_3T1_PL2017,E, 116,-0.483666
2,376_FED_20160519b_3T1_PL2017,H, 116,-0.974916
2,376_FED_20160519b_3T1_PL2017,E, 116,-0.509830
2,399_FED_20160519d_3T1_PL2017,H, 116,-0.041457
2,399_FED_20160519d_3T1_PL2017,E, 116,-0.454228
2,400_FED_20160520a_3T1_PL2017,H, 116,-0.395154
2,400_FED_20160520a_3T1_PL2017,E, 116,-0.444951
2,401_FED_20160520d_3T1_PL2017,H, 116,-0.102864
2,401_FED_20160520d_3T1_PL2017,E, 116,0.704801
2,419_FED_20160805a_3T1_PL2017,H, 116,0.522373
